dist_bin_m,mean_rssi,var_rssi,std_rssi,n,dist_bin_center_m
2058.0,-65.5,1624.5,40.30508652763321,2,2058.5
2064.0,-56.5,2664.5,51.61879502661797,2,2064.5
2068.0,-33.0,0.0,0.0,1,2068.5
2072.0,-30.0,0.0,0.0,1,2072.5
2083.0,-20.0,0.0,0.0,1,2083.5
2090.0,-30.0,0.0,0.0,1,2090.5
2107.0,-30.0,0.0,0.0,1,2107.5
2111.0,-32.0,0.0,0.0,1,2111.5
2122.0,-20.0,0.0,0.0,1,2122.5
2125.0,-38.0,0.0,0.0,1,2125.5
2141.0,-19.0,0.0,0.0,1,2141.5
2144.0,-35.0,0.0,0.0,1,2144.5
2154.0,-33.0,0.0,0.0,1,2154.5
2162.0,-28.0,162.0,12.727922061357855,2,2162.5
2175.0,-27.0,0.0,0.0,1,2175.5
2181.0,-31.0,0.0,0.0,1,2181.5
2182.0,-18.0,0.0,0.0,1,2182.5
2196.0,-25.0,0.0,0.0,1,2196.5
2216.0,-32.0,0.0,0.0,1,2216.5
2218.0,-36.0,0.0,0.0,1,2218.5
2221.0,-18.0,0.0,0.0,1,2221.5
2235.0,-30.0,0.0,0.0,1,2235.5
2250.0,-31.0,0.0,0.0,1,2250.5
2251.0,-26.0,0.0,0.0,1,2251.5
2252.0,-26.0,0.0,0.0,1,2252.5
2263.0,-42.0,0.0,0.0,1,2263.5
2271.0,-24.5,0.5,0.7071067811865476,2,2271.5
2273.0,-30.0,0.0,0.0,1,2273.5
2277.0,-43.0,0.0,0.0,1,2277.5
2281.0,-32.0,0.0,0.0,1,2281.5
2284.0,-30.0,0.0,0.0,1,2284.5
2289.0,-44.0,0.0,0.0,1,2289.5
2296.0,-63.0,2450.0,49.49747468305833,2,2296.5
2297.0,-39.0,0.0,0.0,1,2297.5
2298.0,-21.666666666666668,54.33333333333333,7.371114795831994,3,2298.5
2305.0,-38.0,0.0,0.0,1,2305.5
2309.0,-63.5,2380.5,48.79036790187178,2,2309.5
2314.0,-37.0,0.0,0.0,1,2314.5
2322.0,-59.5,1860.5,43.1335136523794,2,2322.5
2325.0,-39.0,0.0,0.0,1,2325.5
2334.0,-46.666666666666664,1356.3333333333333,36.8284310463171,3,2334.5
2341.0,-98.0,0.0,0.0,1,2341.5
2350.0,-37.0,0.0,0.0,1,2350.5
2351.0,-58.0,2450.0,49.49747468305833,2,2351.5
2358.0,-55.0,1352.0,36.76955262170047,2,2358.5
2362.0,-56.0,1922.0,43.840620433565945,2,2362.5
2364.0,-60.5,1200.5,34.64823227814083,2,2364.5
2369.0,-58.0,1682.0,41.012193308819754,2,2369.5
2376.0,-51.0,1152.0,33.94112549695428,2,2376.5
2380.0,-61.5,840.5,28.991378028648448,2,2380.5
2381.0,-51.0,882.0,29.698484809834994,2,2381.5
2392.0,-43.0,722.0,26.870057685088806,2,2392.5
2393.0,-50.5,924.5,30.405591591021544,2,2393.5
2396.0,-54.0,338.0,18.384776310850235,2,2396.5
2405.0,-52.0,1058.0,32.526911934581186,2,2405.5
2409.0,-24.0,0.0,0.0,1,2409.5
2412.0,-52.5,1012.5,31.81980515339464,2,2412.5
2417.0,-55.0,1250.0,35.35533905932738,2,2417.5
2427.0,-55.0,1922.0,43.840620433565945,2,2427.5
2428.0,-59.0,1352.0,36.76955262170047,2,2428.5
2429.0,-55.0,1250.0,35.35533905932738,2,2429.5
